id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1,121.4904727,31.37470948,0.851945515,0.827938807,0.830322633,0.763916535,0.671182808,0.739741685,0.780841331
2,121.4900018,31.37447509,0.719741754,0.85996675,0.745289752,0.709074426,0.691493071,0.662812018,0.731396295
3,121.489531,31.37424069,0.788265832,0.857033842,0.789443668,0.74210301,0.690644411,0.703939985,0.761905125
5,121.4914105,31.37515757,0.796339086,0.849266676,0.78616079,0.739980763,0.688962902,0.707165825,0.761312674
6,121.4918813,31.37538433,0.748118348,0.855556323,0.7423228,0.714164178,0.698911843,0.681123663,0.740032859
7,121.4923488,31.37561775,0.729912835,0.857608924,0.734510262,0.707371046,0.698031204,0.667873545,0.732551303
12,121.4883094,31.37487483,0.339462248,0.747696514,0.405969513,0.491367468,0.629147436,0.451178987,0.510803694
15,121.4883638,31.37504407,0.268201197,0.775162086,0.376393999,0.482624716,0.623953697,0.412785491,0.489853531
37,121.4933545,31.37614917,0.764645031,0.862985825,0.768995801,0.732661731,0.696583207,0.691461831,0.752888904
38,121.4928872,31.37590824,0.354995561,0.814612947,0.467800871,0.537700764,0.644409814,0.468556975,0.548012822
51,121.4948354,31.37688951,0.747574044,0.852119818,0.748002015,0.715974497,0.691801326,0.679719403,0.739198517
52,121.4943687,31.37665864,0.862307225,0.816852056,0.822109673,0.761613953,0.67724669,0.745196069,0.780887611
53,121.4938905,31.37644224,0.282152302,0.722700642,0.386900819,0.459860448,0.591621291,0.413232328,0.476077972
209,121.4738225,31.36940039,0.898812007,0.643825971,0.803248268,0.738805272,0.611694022,0.752752439,0.741522997
210,121.4739732,31.36889714,0.865110156,0.726554947,0.780219176,0.728308581,0.650054873,0.734903173,0.747525151
211,121.4741132,31.36839055,0.859732992,0.577670539,0.759189966,0.687618786,0.588351204,0.718761575,0.698554177
212,121.4742425,31.36788096,0.879181736,0.656798529,0.77327318,0.716761287,0.62552255,0.736496359,0.73133894
213,121.4743802,31.36737372,0.283151546,0.303911691,0.338161487,0.367734215,0.394386022,0.378766021,0.34435183
216,121.4751428,31.37083448,0.768575754,0.811740215,0.750858232,0.716726721,0.666707117,0.685472651,0.733346782
