id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1,121.4904727,31.37470948,0.808300795,0.84895199,0.807799947,0.752206027,0.682676213,0.714448117,0.769063848
2,121.4900018,31.37447509,0.743541704,0.848468273,0.765528271,0.721808834,0.678503445,0.677166729,0.739169543
3,121.489531,31.37424069,0.73786525,0.867003445,0.753022722,0.722047229,0.700115369,0.678205569,0.743043264
5,121.4914105,31.37515757,0.780326466,0.853811927,0.787989061,0.741491051,0.684259,0.69878502,0.757777088
6,121.4918813,31.37538433,0.806904492,0.849547954,0.804244859,0.75328976,0.682669968,0.713910652,0.768427948
7,121.4923488,31.37561775,0.807082269,0.848691469,0.806231012,0.753974599,0.680764761,0.713733438,0.768412925
12,121.4883094,31.37487483,0.328496648,0.782766788,0.439469961,0.529786039,0.623656581,0.450718159,0.525815696
15,121.4883638,31.37504407,0.237890976,0.816595481,0.338357502,0.474124154,0.657722761,0.397707661,0.487066423
37,121.4933545,31.37614917,0.726487716,0.860897225,0.742531175,0.713172407,0.695202074,0.667317432,0.734268005
38,121.4928872,31.37590824,0.386096014,0.810059151,0.5,0.563655798,0.637077347,0.487159807,0.56400802
51,121.4948354,31.37688951,0.774938304,0.859534384,0.775916924,0.735558003,0.694968352,0.697186199,0.756350361
52,121.4943687,31.37665864,0.824323773,0.813419766,0.802879149,0.742750849,0.665344122,0.720073091,0.761465125
53,121.4938905,31.37644224,0.306584341,0.758147841,0.410474288,0.481155843,0.616241,0.433510275,0.501018931
209,121.4738225,31.36940039,0.873987328,0.715029822,0.825294953,0.744379008,0.622464483,0.743503021,0.754109769
210,121.4739732,31.36889714,0.852009906,0.695195925,0.784618733,0.714851526,0.629196273,0.723878618,0.73329183
211,121.4741132,31.36839055,0.850844723,0.687646275,0.795872769,0.716981111,0.615386445,0.723261159,0.731665414
212,121.4742425,31.36788096,0.903723267,0.655589311,0.815114336,0.746177188,0.617400401,0.760379535,0.749730673
213,121.4743802,31.36737372,0.371534454,0.313959094,0.420534264,0.425759526,0.393149886,0.429543605,0.392413472
216,121.4751428,31.37083448,0.659765467,0.524384117,0.531963246,0.564318804,0.577011408,0.588936176,0.574396536
218,121.4731384,31.37020975,0.631843111,0.784904515,0.641987871,0.640931005,0.658473333,0.607527135,0.660944495
219,121.4726321,31.37006927,0.429570437,0.687478001,0.451092376,0.5,0.623058953,0.494726316,0.530987681
220,121.4721277,31.36992082,0.227120099,0.804242763,0.300845368,0.4429683,0.668922118,0.38810146,0.472033351
221,121.4716229,31.36977437,0.253848069,0.674471943,0.319562917,0.422360707,0.601740842,0.39169823,0.443947118
222,121.4711158,31.36963599,0.286617405,0.624068895,0.342175461,0.423116276,0.580727174,0.408330863,0.444172679
223,121.4706101,31.36949326,0.672498677,0.718786573,0.597650314,0.611877568,0.650960283,0.618918754,0.645115362
224,121.4701011,31.36936214,0.388022697,0.843481611,0.456874898,0.554629846,0.695333992,0.5,0.573057174
229,121.4675775,31.36863401,0.771214763,0.746121405,0.735086679,0.696348959,0.637838465,0.678360669,0.71082849
230,121.4670729,31.36851429,0.815227501,0.691312479,0.753856171,0.70474514,0.617707836,0.698198668,0.713507966
231,121.4665771,31.36834253,0.777822043,0.602393261,0.669884655,0.648842044,0.601426968,0.662199763,0.660428122
232,121.4660701,31.36821213,0.676602137,0.810795404,0.693648763,0.671969442,0.66101909,0.633945327,0.691330027
235,121.4645619,31.36777396,0.674451002,0.710551897,0.669584922,0.64343392,0.615764285,0.62034363,0.655688276
271,121.4813598,31.37276126,0.410053541,0.535529923,0.461700215,0.467017054,0.521570306,0.469707932,0.477596495
273,121.4822759,31.37304652,0.177434553,0.222762191,0.218609781,0.286811413,0.350102403,0.303754114,0.259912409
276,121.4835763,31.37116002,0.776239672,0.828223789,0.7670488,0.717571571,0.677854296,0.692514082,0.743242035
277,121.484047,31.37139448,0.680024723,0.84317881,0.726047545,0.695537618,0.665667918,0.640002067,0.70840978
278,121.4845176,31.37162853,0.757693033,0.83139622,0.768905237,0.718712142,0.665544362,0.682033256,0.737380708
279,121.4849724,31.37188895,0.581588242,0.826461636,0.653034798,0.64816276,0.654776818,0.589177105,0.658866893
280,121.4854437,31.37211652,0.833910534,0.811921478,0.814923885,0.749954388,0.66005597,0.725814235,0.766096748
281,121.4859119,31.37234805,0.810218561,0.820795391,0.798813682,0.738962911,0.664326935,0.711744571,0.757477009
343,121.4868334,31.37284005,0.811569283,0.833962782,0.80997371,0.751137486,0.665896433,0.713981448,0.76442019
344,121.487304,31.37307495,0.805902863,0.819685257,0.807625585,0.748680242,0.652097273,0.707855398,0.756974436
345,121.4877882,31.37327549,0.800525573,0.840384637,0.802237346,0.750840181,0.668786095,0.708177231,0.761825177
527,121.4625537,31.36675447,0.491166434,0.408066129,0.536550298,0.508519151,0.438982468,0.5,0.480547413
528,121.4627201,31.36625732,0.829580192,0.557632882,0.795474062,0.700402128,0.527318955,0.695159081,0.684261217
529,121.4628852,31.36576004,0.822320576,0.561956234,0.791616598,0.69712682,0.527954542,0.690617139,0.681931985
530,121.4630593,31.36526607,0.521354363,0.366449311,0.544919851,0.514381772,0.420345492,0.510738002,0.479698132
531,121.4632525,31.36478098,0.591286744,0.4438841,0.608623054,0.556368423,0.463279833,0.552858989,0.536050191
532,121.4634084,31.36428051,0.826378236,0.608987775,0.793362275,0.712121794,0.548092872,0.697313536,0.697709415
533,121.4635825,31.3637864,0.691700279,0.464737889,0.677578529,0.618042578,0.477751534,0.604700991,0.5890853
534,121.4637455,31.36328842,0.801883173,0.658126575,0.781821849,0.701512805,0.573255618,0.687647302,0.700707887
535,121.4639133,31.36279181,0.455661096,0.303510737,0.472166895,0.462468566,0.402598574,0.473579188,0.428330843
536,121.4641066,31.36230742,0.467789408,0.437923241,0.510947464,0.489365281,0.461386569,0.49167775,0.476514952
537,121.4642875,31.36181489,0.566513113,0.512787327,0.590834452,0.558288649,0.5,0.547519538,0.545990513
538,121.4644727,31.36132333,0.315389739,0.427472728,0.393858035,0.425211729,0.443070626,0.409910844,0.402485617
587,121.4913628,31.36536008,0.663869075,0.77583135,0.687244078,0.652896131,0.639583813,0.62234264,0.673627848
588,121.4908758,31.36516764,0.823496258,0.728771358,0.782200317,0.720434995,0.629991872,0.708018333,0.732152189
589,121.4903955,31.36495924,0.863724228,0.7097766,0.789206411,0.729760323,0.638514936,0.733350592,0.744055515
590,121.4899084,31.36477172,0.859483116,0.749428811,0.809654972,0.742123671,0.644453463,0.735131917,0.756712658
591,121.489404,31.36463235,0.866974879,0.695160895,0.781258584,0.721400059,0.637089914,0.733370224,0.739209093
592,121.4889033,31.36447644,0.757404066,0.830198368,0.7272675,0.696988026,0.692646145,0.681033806,0.730922985
593,121.4884223,31.36427126,0.895320788,0.742083406,0.83756838,0.763146646,0.642612478,0.762254915,0.773831102
595,121.4874425,31.36391078,0.691457894,0.528329495,0.692471513,0.633420651,0.5,0.610240161,0.609319952
825,121.5529455,31.36792993,0.551225612,0.322567761,0.50912902,0.478263226,0.441324462,0.518436042,0.470157687
836,121.5538925,31.36773089,0.602790923,0.280829934,0.562905376,0.5,0.407469294,0.537748375,0.481957317
838,121.5548739,31.36736071,0.835247291,0.526449513,0.786858733,0.695057084,0.520006074,0.696688985,0.676717947
877,121.4406677,31.35989465,0.242100481,0.253172156,0.241912625,0.298234708,0.41606267,0.346725976,0.299701436
878,121.4409075,31.35943066,0.201206929,0.190607303,0.210670106,0.267422633,0.362818471,0.315290003,0.258002574
879,121.4411514,31.35896983,0.285991836,0.795660871,0.364955763,0.461406765,0.656233261,0.423195747,0.497907374
892,121.4484325,31.3611222,0.7055275,0.385094275,0.662706868,0.589582121,0.453163725,0.605083069,0.566859593
908,121.447171,31.35931854,0.237313701,0.529508273,0.308839886,0.371341316,0.512676117,0.363922188,0.387266914
913,121.4517706,31.36425738,0.426964916,0.477654136,0.450400243,0.5,0.5,0.47520446,0.471703959
914,121.447928,31.36226672,0.756469414,0.492892786,0.661776271,0.620795199,0.542313055,0.640170046,0.619069462
915,121.4481218,31.36178262,0.821271646,0.532041348,0.76263896,0.675351016,0.53405544,0.688775413,0.669022304
917,121.4533406,31.36073349,0.417652797,0.208708418,0.410125111,0.395659911,0.361748522,0.442011601,0.37265106
918,121.4535737,31.36026201,0.386691943,0.186308666,0.378966632,0.376092895,0.348426803,0.422362677,0.349808269
927,121.4532711,31.36168392,0.776851418,0.45980849,0.729166269,0.641560157,0.494661495,0.651235,0.625547138
928,121.4536829,31.3607216,0.532642969,0.256263001,0.510509198,0.465355148,0.388098994,0.5,0.442144885
929,121.4528049,31.36207967,0.730969305,0.375687889,0.67895835,0.593047813,0.455605383,0.61673586,0.575167433
930,121.4530215,31.36229051,0.828535724,0.5,0.762545514,0.67240238,0.521314492,0.689405286,0.662367233
931,121.4524992,31.36279403,0.617940034,0.322323891,0.596528215,0.528591745,0.419629126,0.552573614,0.506264438
932,121.4527369,31.36301198,0.636353759,0.330230418,0.601500693,0.537222257,0.426115343,0.562479552,0.515650337
1028,121.5216583,31.35927996,0.220292766,0.235196211,0.205458904,0.267236128,0.427205779,0.327344916,0.280455784
1079,121.5220572,31.35933576,0.179979878,0.607635341,0.202816305,0.309215879,0.595003653,0.32123004,0.369313516
1080,121.5230764,31.35948395,0.700262415,0.536341662,0.622075765,0.574457313,0.563915193,0.612567259,0.601603268
1081,121.5235799,31.35962628,0.256149538,0.245565897,0.245310861,0.292631652,0.422579544,0.352346503,0.302430666
1082,121.5240875,31.35975471,0.222798032,0.392797749,0.222922292,0.304010791,0.506253214,0.340854474,0.331606092
1083,121.5245977,31.35987662,0.195808808,0.464099643,0.208027245,0.294455697,0.536209571,0.325617568,0.337369755
1084,121.5251191,31.3598655,0.380584169,0.417295074,0.349453946,0.383352886,0.528212143,0.43575783,0.415776008
1085,121.5225758,31.36002262,0.284322083,0.417634066,0.272018122,0.340978262,0.521777749,0.380524031,0.369542386
1177,121.5490752,31.36405857,0.25544181,0.157787635,0.268098207,0.304335509,0.32542125,0.34907581,0.27669337
1178,121.5495653,31.36387282,0.211235323,0.147862924,0.231061822,0.280150593,0.311531748,0.319564183,0.250234432
1179,121.550059,31.36369984,0.247045345,0.183932916,0.260113977,0.300642727,0.34744008,0.345837557,0.280835434
1180,121.55055,31.36352929,0.247674883,0.189426709,0.25655487,0.300541681,0.352053814,0.346873513,0.282187578
1182,121.5515278,31.36317345,0.223950265,0.14892808,0.233033605,0.276266471,0.323847481,0.326683881,0.255451631
1183,121.5520145,31.36298072,0.304069327,0.182478278,0.303469709,0.332715162,0.355242427,0.37726356,0.309206411
1185,121.5530036,31.36263754,0.273206888,0.153400383,0.276972121,0.310242526,0.323733948,0.354824137,0.282063334
1186,121.5534915,31.36244753,0.287802821,0.163759977,0.287609339,0.316077252,0.336524164,0.364236413,0.292668328
1187,121.553978,31.36225453,0.292475345,0.167374595,0.286709501,0.320343586,0.342573924,0.368297925,0.296295813
1188,121.5544775,31.36209637,0.290512119,0.165803484,0.28513988,0.321086559,0.338919477,0.367259929,0.294786908
1189,121.5549623,31.36189729,0.298073563,0.143580455,0.289104629,0.309951223,0.327589416,0.366131419,0.289071784
1191,121.5559508,31.36154725,0.26789836,0.147907541,0.271218262,0.302580816,0.326538459,0.354025768,0.278361534
1193,121.5569386,31.36118875,0.277778025,0.151400605,0.282740021,0.308400499,0.325114142,0.356016735,0.283575005
1194,121.5574363,31.36101878,0.313174854,0.166399678,0.311880775,0.329642566,0.342800139,0.379050823,0.307158139
1195,121.5579237,31.36082276,0.258241277,0.14925754,0.264396309,0.296354236,0.324088378,0.347844177,0.273363653
1196,121.5584227,31.36065655,0.30470921,0.155175868,0.31425985,0.333526577,0.317291116,0.372124007,0.299514438
1197,121.5589217,31.36049034,0.277346224,0.155324482,0.273427355,0.30922183,0.333992877,0.357689387,0.284500359
1199,121.5599147,31.36014771,0.557347899,0.272808124,0.509682791,0.474492716,0.412309614,0.518492058,0.4575222
1201,121.5608914,31.35977651,0.26873481,0.182584369,0.287934649,0.316911086,0.339117934,0.354790827,0.291678946
1202,121.5613788,31.35959637,0.222785184,0.149789903,0.228752895,0.276906087,0.327399477,0.326275189,0.255318123
1203,121.5618713,31.35942741,0.240210331,0.146537461,0.244507342,0.287627136,0.323475707,0.337295673,0.263275608
1204,121.5623669,31.3592572,0.230798899,0.141410794,0.232339168,0.278555592,0.320359293,0.330279772,0.25562392
1206,121.5633501,31.3588953,0.205825915,0.120732894,0.206794169,0.256854667,0.302803227,0.309869345,0.23381337
1213,121.5667991,31.35767689,0.242342622,0.319245545,0.282659729,0.334165373,0.42100689,0.35522889,0.325774842
1214,121.5672861,31.35748372,0.196789993,0.5,0.241951946,0.322375477,0.516047143,0.33252317,0.351614622
1275,121.4210719,31.35455623,0.824531065,0.565291045,0.795827768,0.696984937,0.528960887,0.691954395,0.683925016
1276,121.4222619,31.35425425,0.704265209,0.615369204,0.710240468,0.644002599,0.54620744,0.625949872,0.641005799
1277,121.4224454,31.35376204,0.405240237,0.445519937,0.470837948,0.465240046,0.458115659,0.460180486,0.450855719
1278,121.4226139,31.3532638,0.802511515,0.683841093,0.786206885,0.706456462,0.585075541,0.690651618,0.709123852
