id,lng,lat,total_2019,total_2013,difference
1,121.4904727,31.37470948,0.780841331,0.769063848,0.011777483
2,121.4900018,31.37447509,0.731396295,0.739169543,-0.007773248
3,121.489531,31.37424069,0.761905125,0.743043264,0.018861861
5,121.4914105,31.37515757,0.761312674,0.757777088,0.003535586
6,121.4918813,31.37538433,0.740032859,0.768427948,-0.028395089
7,121.4923488,31.37561775,0.732551303,0.768412925,-0.035861622
12,121.4883094,31.37487483,0.510803694,0.525815696,-0.015012002
15,121.4883638,31.37504407,0.489853531,0.487066423,0.002787108
37,121.4933545,31.37614917,0.752888904,0.734268005,0.018620899
38,121.4928872,31.37590824,0.548012822,0.56400802,-0.015995198
51,121.4948354,31.37688951,0.739198517,0.756350361,-0.017151844
52,121.4943687,31.37665864,0.780887611,0.761465125,0.019422486
53,121.4938905,31.37644224,0.476077972,0.501018931,-0.024940959
209,121.4738225,31.36940039,0.741522997,0.754109769,-0.012586772
210,121.4739732,31.36889714,0.747525151,0.73329183,0.014233321
211,121.4741132,31.36839055,0.698554177,0.731665414,-0.033111237
212,121.4742425,31.36788096,0.73133894,0.749730673,-0.018391733
213,121.4743802,31.36737372,0.34435183,0.392413472,-0.048061642
216,121.4751428,31.37083448,0.733346782,0.574396536,0.158950246
218,121.4731384,31.37020975,0.678459881,0.660944495,0.017515386
219,121.4726321,31.37006927,0.63469285,0.530987681,0.103705169
220,121.4721277,31.36992082,0.491139004,0.472033351,0.019105653
221,121.4716229,31.36977437,0.436513973,0.443947118,-0.007433145
222,121.4711158,31.36963599,0.524604692,0.444172679,0.080432013
223,121.4706101,31.36949326,0.68766215,0.645115362,0.042546788
224,121.4701011,31.36936214,0.584543899,0.573057174,0.011486725
229,121.4675775,31.36863401,0.697794987,0.71082849,-0.013033503
230,121.4670729,31.36851429,0.686883621,0.713507966,-0.026624345
231,121.4665771,31.36834253,0.718169817,0.660428122,0.057741695
232,121.4660701,31.36821213,0.686767764,0.691330027,-0.004562263
235,121.4645619,31.36777396,0.680899831,0.655688276,0.025211555
271,121.4813598,31.37276126,0.561418582,0.477596495,0.083822087
273,121.4822759,31.37304652,0.469450044,0.259912409,0.209537635
276,121.4835763,31.37116002,0.769740517,0.743242035,0.026498482
